movieId,title,genres
279,My Family (1995),Drama
848,"Spitfire Grill, The (1996)",Drama
943,"Ghost and Mrs. Muir, The (1947)",Drama|Fantasy|Romance
1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1681,Mortal Kombat: Annihilation (1997),Action|Adventure|Fantasy
2660,"Thing from Another World, The (1951)",Horror|Sci-Fi
2661,It Came from Outer Space (1953),Sci-Fi
6382,Together (Han ni Zai Yiki) (2002),Drama
34271,Hustle & Flow (2005),Crime|Drama
39414,Shopgirl (2005),Comedy|Drama|Romance